;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;33774.092:34501.259;32862.008:34343.208
f=20,q=6;-34501.259:-33774.092;0:0;-912.083:-158.051
f=24,q=6;-34343.208:-32862.008;158.051:912.083;0:0
