;0;1
CSMaxDelays;151.909;413.237
PRMaxDelays;60.121;402.5
CSAvgDelays;3.672;8.799
PRAvgDelays;1.347;6.139
PrcOverOneMinuteDelay;0.014;0.034
MaxWaitTimes;439.908;457.12
AvgWaitTimes;81.8;83.208
MaxTravelTimes;1569.895;1734.085
AvgTravelTimes;388.809;358.586
CSMaxQueueSizes;222;247
PRMaxQueueSizes;386;410
