;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-70.911:77.113;-15.198:-0.918
f=20,q=6;-77.113:70.911;0:0;-92.311:69.994
f=24,q=6;0.918:15.198;-69.994:92.311;0:0
