;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;30.091:118.801;-350.238:121.728
f=20,q=6;-118.801:-30.091;0:0;-469.039:91.637
f=24,q=6;-121.728:350.238;-91.637:469.039;0:0
