;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;4136.916:4254.084;4065.959:4279.811
f=20,q=6;-4254.084:-4136.916;0:0;-70.957:25.727
f=24,q=6;-4279.811:-4065.959;-25.727:70.957;0:0
