;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-66.563:8.917;-68.121:-43.487
f=20,q=6;-8.917:66.563;0:0;-52.403:-1.558
f=24,q=6;43.487:68.121;1.558:52.403;0:0
