;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-57.27:173.673;-96.7:121.862
f=20,q=6;-173.673:57.27;0:0;-51.811:-39.43
f=24,q=6;-121.862:96.7;39.43:51.811;0:0
