;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;22.921:76.375;73.705:78.015
f=20,q=6;-76.375:-22.921;0:0;1.64:50.783
f=24,q=6;-78.015:-73.705;-50.783:-1.64;0:0
