;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-434.122:0.014;-202.139:-93.542
f=20,q=6;-0.014:434.122;0:0;-202.153:340.579
f=24,q=6;93.542:202.139;-340.579:202.153;0:0
