;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-139.789:129.649;-1816.897:-584.713
f=20,q=6;-129.649:139.789;0:0;-1677.108:-714.363
f=24,q=6;584.713:1816.897;714.363:1677.108;0:0
