;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-12.836:151.836;43.572:61.428
f=20,q=6;-151.836:12.836;0:0;-108.264:74.264
f=24,q=6;-61.428:-43.572;-74.264:108.264;0:0
