;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;21.118:25.375;37.608:37.838
f=20,q=6;-25.375:-21.118;0:0;12.233:16.72
f=24,q=6;-37.838:-37.608;-16.72:-12.233;0:0
