;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;0.124:1.097;-7.615:2.022
f=20,q=6;-1.097:-0.124;0:0;-7.739:0.925
f=24,q=6;-2.022:7.615;-0.925:7.739;0:0
