;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-0.408:1.236;-1.415:0.112
f=20,q=6;-1.236:0.408;0:0;-1.124:-1.007
f=24,q=6;-0.112:1.415;1.007:1.124;0:0
