;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-724.451:74.212;-614.117:-131.083
f=20,q=6;-74.212:724.451;0:0;-205.295:110.333
f=24,q=6;131.083:614.117;-110.333:205.295;0:0
