;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-0.008:0.009;-0.037:0.002
f=20,q=6;-0.009:0.008;0:0;-0.046:0.01
f=24,q=6;-0.002:0.037;-0.01:0.046;0:0
