;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-0.006:0;-0.039:0.001
f=20,q=6;0:0.006;0:0;-0.039:0.007
f=24,q=6;-0.001:0.039;-0.007:0.039;0:0
