;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;14935.344:15268.656;14525.864:15236.136
f=20,q=6;-15268.656:-14935.344;0:0;-409.48:-32.52
f=24,q=6;-15236.136:-14525.864;32.52:409.48;0:0
