;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-2.401:-0.328;-8.1:0.109
f=20,q=6;0.328:2.401;0:0;-7.772:2.509
f=24,q=6;-0.109:8.1;-2.509:7.772;0:0
