;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-32.124:61.124;-1.444:12.444
f=20,q=6;-61.124:32.124;0:0;-48.68:30.68
f=24,q=6;-12.444:1.444;-30.68:48.68;0:0
