;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-0.216:0.182;-6.358:1.08
f=20,q=6;-0.182:0.216;0:0;-6.54:1.296
f=24,q=6;-1.08:6.358;-1.296:6.54;0:0
