;f=16,q=6;f=20,q=6;f=24,q=6
CSMaxDelays;-14.368:161.675;71.634:89.285;-60.869:576.829
PRMaxDelays;17.549:78.819;-17.128:102.348;-27.214:558.71
CSAvgDelays;-0.25:1.903;2.151:2.231;-0.359:10.003
PRAvgDelays;0.064:0.471;-0.118:0.688;-0.608:6.422
PrcOverOneMinuteDelay;0.002:0.002;0.002:0.008;0.002:0.041
MaxWaitTimes;470.31:513.975;374.712:436.365;373.907:434.348
AvgWaitTimes;119.512:122.353;97.479:99.018;79.989:84.053
MaxTravelTimes;1855.99:1912.493;1689.607:1812.848;1735.432:1739.013
AvgTravelTimes;499.405:528.187;498.434:545.035;462.282:556.359
CSMaxQueueSizes;124.764:190.236;122.556:136.444;86.128:117.872
PRMaxQueueSizes;343.956:457.044;305.208:356.792;282.528:413.472
