;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-226.396:295.396;70.972:188.028
f=20,q=6;-295.396:226.396;0:0;-224.424:414.424
f=24,q=6;-188.028:-70.972;-414.424:224.424;0:0
