;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;2465.141:2743.013;2483.996:2790.22
f=20,q=6;-2743.013:-2465.141;0:0;18.855:47.207
f=24,q=6;-2790.22:-2483.996;-47.207:-18.855;0:0
