;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-12.757:-1.901;-110.082:54.796
f=20,q=6;1.901:12.757;0:0;-108.181:67.554
f=24,q=6;-54.796:110.082;-67.554:108.181;0:0
