;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;4119.079:4254.243;4104.873:4259.98
f=20,q=6;-4254.243:-4119.079;0:0;-14.206:5.737
f=24,q=6;-4259.98:-4104.873;-5.737:14.206;0:0
