;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-333.101:-186.943;-147.372:-119.601
f=20,q=6;186.943:333.101;0:0;67.343:185.729
f=24,q=6;119.601:147.372;-185.729:-67.343;0:0
