;f=16,q=6;f=20,q=6;f=24,q=6
CSMaxDelays;97.964:370.933;237.753:241.284;955.647:1914.862
PRMaxDelays;20.14:444.918;117.139:217.291;976.642:1781.019
CSAvgDelays;14.204:36.741;19.972:20.131;147.336:310.963
PRAvgDelays;8.559:22.407;9.071:10.675;125.796:285.88
PrcOverOneMinuteDelay;0.106:0.182;0.096:0.099;0.598:0.71
MaxWaitTimes;34526.823:35328.331;752.732:827.072;985.123:1664.815
AvgWaitTimes;4250.538:4386.033;131.459:131.79;126.053:145.665
MaxTravelTimes;35159.394:36165.035;1790.138:1863.938;2157.134:2213.593
AvgTravelTimes;4785.169:4841.89;587.806:648.253;562.079:719.21
CSMaxQueueSizes;15281.996:15653.004;346.652:384.348;416.868:756.132
PRMaxQueueSizes;15883.464:16494.536;565.576:708.424;446.26:1130.74
