;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-0.59:0.541;-1.609:0.015
f=20,q=6;-0.541:0.59;0:0;-1.019:-0.525
f=24,q=6;-0.015:1.609;0.525:1.019;0:0
