;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;218.7:268.3;203.832:410.168
f=20,q=6;-268.3:-218.7;0:0;-64.468:191.468
f=24,q=6;-410.168:-203.832;-191.468:64.468;0:0
