;0;1
CSMaxDelays;93.642;115.662
PRMaxDelays;127.01;234.847
CSAvgDelays;3.739;4.477
PRAvgDelays;2.651;4.526
PrcOverOneMinuteDelay;0.025;0.028
MaxWaitTimes;356.433;358.827
AvgWaitTimes;82.37;83.737
MaxTravelTimes;1733.823;1782.025
AvgTravelTimes;608.664;617.908
CSMaxQueueSizes;132;111
PRMaxQueueSizes;188;196
