;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-362.07:716.925;412.18:477.146
f=20,q=6;-716.925:362.07;0:0;-304.745:839.216
f=24,q=6;-477.146:-412.18;-839.216:304.745;0:0
