;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-0.004:0.016;-0.022:-0.011
f=20,q=6;-0.016:0.004;0:0;-0.027:-0.018
f=24,q=6;0.011:0.022;0.018:0.027;0:0
