;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-5.728:61.728;27.588:49.412
f=20,q=6;-61.728:5.728;0:0;-12.316:33.316
f=24,q=6;-49.412:-27.588;-33.316:12.316;0:0
