;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-139.972:94.1;-64.174:33.529
f=20,q=6;-94.1:139.972;0:0;-60.571:75.798
f=24,q=6;-33.529:64.174;-75.798:60.571;0:0
